FR9006461,Cet ouvrage de synthese sur l'amenagement agro-ecologique et le developpement rural en zones arides et subhumides traite des themes suivants : Les interactions climatiques.
FR9006461,Les mecanismes de la degradation des sols.
FR9006461,La lutte anti-erosive.
FR9006461,La gestion de l'eau.
FR9006461,"Les amenagements agroecologiques ( maitrise pastorale , productions integrees , agrosylviculture , technologies )."
FR9006461,"L'homme ( le milieu humain , la formation , la participation aux decisions )."
FR9006461,Le problemegeopolitique
PH19930047648,"Experiments were conducted during the 1987 - 88 dry season to determine the influence of irrigation water and naturally occurring water table depths in a toposequence , on the weed ecology of two cowpea [ Vigna unguiculata ( L. ) Walp ] cultivars at Los Banos , Philippines."
PH19930047648,"In the line source sprinkler irrigation experiment on a Typic Tropudalf , saturated and wet treatments had a higher weed population than the dry treatment."
PH19930047648,"In the toposequential agrohydrology experiment , the shallow and medium water table depths had greater weed populations than the deep water table depth regime."
PH19930047648,In both experiments the early maturing cultivars had a higher LAI [ leaf area index ] in their early phase of growth.
PH19930047648,"This was associated with reduced weed competition as compared to the medium maturing cultivars , irrespective of moisture regimes."
DE91R0192,Unzaehlige Vergiftungsfaelle Jahr fuer Jahr und eine zunehmende Umweltbelastung sind die Folgen der Anwendung chemischer Pflanzenschutzmittel in der Dritten Welt.
DE91R0192,Das Buch stellt Folgen und Gefahren ausfuehrlich dar und zeigt praktikable Alternativen zum chemischen Pflanzenschutz auf.
DE91R0192,Vorschlaege zur Verbesserung des Anwenderschutzes.
DE91R0192,"Anleitungen zur analphabetengerechten Darstellung und Vermittlung der Pestizidproblematik , Gegenmassnahmen im Vergiftungsfall sowie zahlreiche Hinweise auf weiterfuehrende Schriften und mit der Thematik befasste Organisationen und Fortbildungsmassnahmen , etc. erhoehen den praktischen Wert des Buches."
DE91R0192,"Das Buch ist besonders wertvoll fuer Entwicklungshelfer in landwirtschaftlichen und medizinischen Projekten , Pflanzenschutzberater , Projektmitarbeiter , fuer jeden , der an globalen Umweltproblemen und Entwicklungspolitik interessiertist"
